       PrdM    C0mS/cm    WetStar     Tv290C Sbeox0ML/L      DepSM  Sigma-é00      Sal00       Flag
     22.048  44.598217     0.3535    13.3493     5.1664     21.900    28.7489    38.1312 0.0000e+00
     22.177  44.598874     0.3409    13.3497     5.1679     22.000    28.7490    38.1313 0.0000e+00
     22.278  44.599602     0.3934    13.3502     5.1628     22.100    28.7490    38.1315 0.0000e+00
     22.379  44.600305     0.4361    13.3506     5.1601     22.200    28.7491    38.1317 0.0000e+00
 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29     22.300 -9.990e-29 -9.990e-29 -9.990e-29
     22.554  44.601115     0.3602    13.3510     5.1582     22.400    28.7492    38.1320 0.0000e+00
     22.681  44.601022     0.3394    13.3509     5.1567     22.500    28.7492    38.1320 0.0000e+00
     22.782  44.600646     0.4026    13.3506     5.1574     22.600    28.7492    38.1319 0.0000e+00
 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29     22.700 -9.990e-29 -9.990e-29 -9.990e-29
     22.934  44.599891     0.3901    13.3500     5.1607     22.800    28.7492    38.1317 0.0000e+00
     23.084  44.599313     0.3342    13.3496     5.1617     22.900    28.7491    38.1315 0.0000e+00
     23.185  44.599293     0.3336    13.3495     5.1623     23.000    28.7492    38.1315 0.0000e+00
     23.286  44.599378     0.3805    13.3494     5.1654     23.100    28.7493    38.1316 0.0000e+00
     23.387  44.599564     0.3402    13.3495     5.1689     23.200    28.7493    38.1317 0.0000e+00
     23.488  44.599885     0.3973    13.3497     5.1692     23.300    28.7493    38.1318 0.0000e+00
     23.589  44.600291     0.3592    13.3499     5.1749     23.400    28.7494    38.1319 0.0000e+00
     23.690  44.600743     0.3359    13.3503     5.1757     23.500    28.7493    38.1319 0.0000e+00
 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29     23.600 -9.990e-29 -9.990e-29 -9.990e-29
     23.856  44.601613     0.3447    13.3509     5.1746     23.700    28.7493    38.1320 0.0000e+00
     23.992  44.602471     0.3644    13.3516     5.1740     23.800    28.7492    38.1320 0.0000e+00
     24.093  44.603195     0.3859    13.3521     5.1740     23.900    28.7492    38.1322 0.0000e+00
 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29     24.000 -9.990e-29 -9.990e-29 -9.990e-29
     24.264  44.604377     0.3624    13.3529     5.1680     24.100    28.7492    38.1325 0.0000e+00
     24.395  44.604951     0.3492    13.3533     5.1678     24.200    28.7493    38.1326 0.0000e+00
 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29     24.300 -9.990e-29 -9.990e-29 -9.990e-29
     24.549  44.605325     0.3226    13.3537     5.1668     24.400    28.7491    38.1324 0.0000e+00
     24.697  44.605644     0.3919    13.3540     5.1673     24.500    28.7489    38.1324 0.0000e+00
     24.798  44.606013     0.4011    13.3543     5.1673     24.600    28.7488    38.1323 0.0000e+00
     24.899  44.606547     0.3613    13.3548     5.1665     24.700    28.7487    38.1323 0.0000e+00
     25.000  44.607365     0.3585    13.3555     5.1644     24.800    28.7486    38.1324 0.0000e+00
     25.101  44.608562     0.3543    13.3563     5.1647     24.900    28.7487    38.1326 0.0000e+00
     25.202  44.609771     0.3783    13.3570     5.1645     25.000    28.7489    38.1331 0.0000e+00
     25.302  44.610089     0.3511    13.3572     5.1664     25.100    28.7489    38.1331 0.0000e+00
     25.403  44.609421     0.3896    13.3568     5.1670     25.200    28.7488    38.1329 0.0000e+00
     25.504  44.608465     0.3321    13.3561     5.1717     25.300    28.7487    38.1327 0.0000e+00
     25.605  44.607397     0.3275    13.3552     5.1723     25.400    28.7488    38.1324 0.0000e+00
