       PrdM    C0mS/cm    WetStar     Tv290C Sbeox0ML/L      DepSM  Sigma-é00      Sal00       Flag
     15.235  44.356140     0.6843    13.1661     5.3250     15.114    28.7518    38.0857 0.0000e+00
     15.339  44.356470     0.6821    13.1663     5.3263     15.217    28.7518    38.0858 0.0000e+00
     15.446  44.356729     0.6887    13.1664     5.3206     15.323    28.7519    38.0859 0.0000e+00
     15.557  44.356913     0.6987    13.1665     5.3176     15.433    28.7519    38.0859 0.0000e+00
     15.671  44.357022     0.6965    13.1666     5.3215     15.546    28.7518    38.0859 0.0000e+00
     15.785  44.357040     0.7839    13.1666     5.3211     15.659    28.7518    38.0858 0.0000e+00
     15.899  44.356994     0.7441    13.1665     5.3255     15.772    28.7518    38.0858 0.0000e+00
     16.011  44.356963     0.7629    13.1665     5.3292     15.883    28.7518    38.0857 0.0000e+00
     16.124  44.356957     0.8226    13.1665     5.3368     15.995    28.7517    38.0857 0.0000e+00
     16.238  44.356952     0.8038    13.1664     5.3397     16.109    28.7518    38.0857 0.0000e+00
     16.355  44.356957     0.7806    13.1664     5.3447     16.225    28.7518    38.0857 0.0000e+00
     16.476  44.356967     0.8292    13.1664     5.3461     16.345    28.7517    38.0856 0.0000e+00
     16.601  44.357004     0.8127    13.1664     5.3460     16.469    28.7517    38.0856 0.0000e+00
     16.727  44.357113     0.8182    13.1664     5.3470     16.594    28.7518    38.0857 0.0000e+00
     16.851  44.357287     0.8392    13.1665     5.3479     16.717    28.7518    38.0857 0.0000e+00
     16.970  44.357425     0.8735    13.1665     5.3447     16.835    28.7518    38.0857 0.0000e+00
     17.082  44.357491     0.9122    13.1665     5.3435     16.946    28.7518    38.0858 0.0000e+00
     17.186  44.357498     0.8757    13.1665     5.3467     17.049    28.7518    38.0857 0.0000e+00
     17.284  44.357421     0.9100    13.1664     5.3483     17.146    28.7518    38.0857 0.0000e+00
     17.380  44.357225     0.9122    13.1662     5.3479     17.241    28.7518    38.0857 0.0000e+00
     17.476  44.356866     0.9056    13.1659     5.3474     17.337    28.7518    38.0856 0.0000e+00
     17.577  44.356270     0.9354    13.1655     5.3446     17.437    28.7517    38.0854 0.0000e+00
     17.686  44.355496     0.9476    13.1650     5.3421     17.545    28.7516    38.0851 0.0000e+00
     17.804  44.354872     0.9443    13.1645     5.3384     17.662    28.7516    38.0849 0.0000e+00
     17.929  44.354649     0.9454    13.1642     5.3354     17.786    28.7517    38.0849 0.0000e+00
     18.059  44.354735     0.9432    13.1641     5.3320     17.915    28.7518    38.0851 0.0000e+00
     18.190  44.354956     0.9432    13.1641     5.3259     18.045    28.7520    38.0852 0.0000e+00
     18.319  44.355254     0.9443    13.1642     5.3202     18.173    28.7520    38.0853 0.0000e+00
     18.442  44.355586     0.9819    13.1643     5.3241     18.295    28.7521    38.0855 0.0000e+00
     18.559  44.355865     0.9609    13.1645     5.3218     18.411    28.7521    38.0855 0.0000e+00
     18.669  44.356059     0.9708    13.1647     5.3219     18.520    28.7520    38.0855 0.0000e+00
     18.774  44.356231     0.9443    13.1648     5.3240     18.624    28.7520    38.0855 0.0000e+00
     18.877  44.356446     0.9620    13.1650     5.3253     18.726    28.7519    38.0854 0.0000e+00
     18.979  44.356732     0.9509    13.1651     5.3293     18.828    28.7520    38.0856 0.0000e+00
     19.085  44.357058     0.9620    13.1653     5.3366     18.933    28.7520    38.0856 0.0000e+00
     19.197  44.357284     0.9100    13.1654     5.3383     19.044    28.7521    38.0857 0.0000e+00
     19.315  44.357372     0.9432    13.1654     5.3386     19.161    28.7521    38.0857 0.0000e+00
     19.440  44.357488     0.9653    13.1655     5.3430     19.285    28.7520    38.0857 0.0000e+00
     19.571  44.357782     0.9775    13.1657     5.3413     19.415    28.7520    38.0857 0.0000e+00
     19.707  44.358187     0.9996    13.1659     5.3439     19.550    28.7521    38.0858 0.0000e+00
     19.844  44.358575     0.9731    13.1661     5.3454     19.686    28.7521    38.0859 0.0000e+00
     19.983  44.358912     0.9609    13.1663     5.3471     19.823    28.7521    38.0860 0.0000e+00
     20.119  44.359173     1.0162    13.1664     5.3437     19.958    28.7522    38.0861 0.0000e+00
     20.252  44.359301     1.1047    13.1665     5.3459     20.090    28.7522    38.0860 0.0000e+00
     20.378  44.359290     1.0383    13.1664     5.3484     20.215    28.7522    38.0861 0.0000e+00
     20.495  44.359238     1.0295    13.1664     5.3435     20.331    28.7521    38.0860 0.0000e+00
     20.602  44.359201     0.9974    13.1664     5.3453     20.438    28.7521    38.0859 0.0000e+00
     20.703  44.359188     1.0483    13.1663     5.3421     20.538    28.7521    38.0859 0.0000e+00
     20.800  44.359197     1.0538    13.1663     5.3454     20.634    28.7521    38.0859 0.0000e+00
     20.899  44.359224     1.0417    13.1663     5.3432     20.732    28.7521    38.0859 0.0000e+00
     21.003  44.359278     1.0295    13.1663     5.3442     20.835    28.7521    38.0859 0.0000e+00
     21.115  44.359363     1.0826    13.1663     5.3476     20.946    28.7521    38.0859 0.0000e+00
     21.236  44.359446     1.0151    13.1663     5.3485     21.066    28.7521    38.0859 0.0000e+00
     21.362  44.359491     1.1589    13.1663     5.3545     21.191    28.7521    38.0859 0.0000e+00
     21.491  44.359487     1.0483    13.1663     5.3519     21.319    28.7521    38.0859 0.0000e+00
     21.620  44.359440     1.0549    13.1663     5.3559     21.447    28.7520    38.0858 0.0000e+00
     21.748  44.359378     1.0881    13.1662     5.3525     21.574    28.7520    38.0857 0.0000e+00
     21.873  44.359339     1.0494    13.1662     5.3506     21.698    28.7519    38.0856 0.0000e+00
     21.997  44.359348     1.1003    13.1662     5.3516     21.821    28.7519    38.0856 0.0000e+00
     22.122  44.359424     1.0748    13.1662     5.3508     21.945    28.7519    38.0856 0.0000e+00
     22.249  44.359591     1.1069    13.1663     5.3485     22.071    28.7519    38.0856 0.0000e+00
     22.379  44.359841     1.0848    13.1664     5.3505     22.200    28.7520    38.0857 0.0000e+00
     22.509  44.360137     1.1003    13.1665     5.3500     22.329    28.7520    38.0858 0.0000e+00
     22.640  44.360466     1.1268    13.1666     5.3481     22.459    28.7521    38.0860 0.0000e+00
     22.768  44.360806     1.0859    13.1668     5.3500     22.586    28.7522    38.0860 0.0000e+00
     22.893  44.361084     1.0981    13.1669     5.3465     22.710    28.7522    38.0861 0.0000e+00
     23.012  44.361279     1.1268    13.1670     5.3414     22.828    28.7522    38.0862 0.0000e+00
     23.129  44.361415     1.0992    13.1671     5.3384     22.944    28.7522    38.0862 0.0000e+00
     23.244  44.361506     1.1368    13.1671     5.3369     23.058    28.7522    38.0862 0.0000e+00
     23.361  44.361595     1.1180    13.1671     5.3311     23.174    28.7523    38.0862 0.0000e+00
     23.482  44.361705     1.0981    13.1672     5.3311     23.294    28.7522    38.0862 0.0000e+00
     23.609  44.361799     1.0726    13.1672     5.3289     23.420    28.7522    38.0862 0.0000e+00
     23.739  44.361836     1.0881    13.1671     5.3336     23.549    28.7523    38.0863 0.0000e+00
